id,lat,lon,user,uid,version,changeset,timestamp
4454093209,47.6080971,-122.3192007,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093210,47.6080573,-122.3192530,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093211,47.6080103,-122.3192892,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093212,47.6080600,-122.3188761,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093213,47.6079859,-122.3191631,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093214,47.6079280,-122.3193320,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093215,47.6081359,-122.3189003,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093216,47.6081331,-122.3193499,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4494938769,47.6153974,-122.3207043,fmarier,24555,1,43567956,2016-11-11T20:13:39Z
4495003399,47.6175121,-122.3217031,fmarier,24555,1,43568737,2016-11-11T20:38:14Z
4495005002,47.6159579,-122.3212369,fmarier,24555,1,43568737,2016-11-11T20:38:15Z
4495005089,47.6187948,-122.3207750,fmarier,24555,1,43568737,2016-11-11T20:38:14Z
4495005090,47.6160541,-122.3210747,fmarier,24555,1,43568737,2016-11-11T20:38:15Z
4497439496,47.6164016,-122.3267293,fmarier,24555,1,43590074,2016-11-12T21:00:06Z
4497439603,47.6153303,-122.3267425,fmarier,24555,1,43590074,2016-11-12T21:00:06Z
4497439604,47.6163916,-122.3220804,fmarier,24555,1,43590074,2016-11-12T21:00:06Z
4518345880,47.6094413,-122.3246528,Ballard OpenStreetMap,2814663,1,43909275,2016-11-24T02:29:11Z
4518345881,47.6093353,-122.3249116,Ballard OpenStreetMap,2814663,1,43909275,2016-11-24T02:29:11Z
4518345882,47.6096318,-122.3241660,Ballard OpenStreetMap,2814663,1,43909275,2016-11-24T02:29:11Z
4518345883,47.6095482,-122.3243501,Ballard OpenStreetMap,2814663,1,43909275,2016-11-24T02:29:11Z
4518348451,47.6093215,-122.3237971,Ballard OpenStreetMap,2814663,1,43909296,2016-11-24T02:32:16Z
4518348452,47.6100639,-122.3241512,Ballard OpenStreetMap,2814663,1,43909296,2016-11-24T02:32:16Z
4518348453,47.6099613,-122.3239013,Ballard OpenStreetMap,2814663,1,43909296,2016-11-24T02:32:16Z
4518427158,47.6097817,-122.3252391,Ballard OpenStreetMap,2814663,1,43909985,2016-11-24T03:46:46Z
4518427159,47.6097292,-122.3251878,Ballard OpenStreetMap,2814663,1,43909985,2016-11-24T03:46:46Z
4518427160,47.6096776,-122.3253099,Ballard OpenStreetMap,2814663,1,43909985,2016-11-24T03:46:46Z
4518427161,47.6097307,-122.3253599,Ballard OpenStreetMap,2814663,1,43909985,2016-11-24T03:46:46Z
4518435861,47.6092242,-122.3243326,Ballard OpenStreetMap,2814663,1,43910116,2016-11-24T04:00:42Z
4524172678,47.6190541,-122.3020138,Ballard OpenStreetMap,2814663,1,43976204,2016-11-27T03:22:10Z
4524172679,47.6190533,-122.3024434,Ballard OpenStreetMap,2814663,1,43976204,2016-11-27T03:22:10Z
4524172680,47.6191320,-122.3024411,Ballard OpenStreetMap,2814663,1,43976204,2016-11-27T03:22:10Z
4524172681,47.6194011,-122.3020570,Ballard OpenStreetMap,2814663,1,43976204,2016-11-27T03:22:10Z
4524172682,47.6194011,-122.3020231,Ballard OpenStreetMap,2814663,1,43976204,2016-11-27T03:22:10Z
4524172683,47.6192957,-122.3020243,Ballard OpenStreetMap,2814663,1,43976204,2016-11-27T03:22:10Z
4524172684,47.6191336,-122.3022589,Ballard OpenStreetMap,2814663,1,43976204,2016-11-27T03:22:10Z
4524172685,47.6191359,-122.3020173,Ballard OpenStreetMap,2814663,1,43976204,2016-11-27T03:22:10Z
4524175436,47.6185699,-122.3027363,Ballard OpenStreetMap,2814663,1,43976256,2016-11-27T03:30:16Z
4524175437,47.6184177,-122.3027346,Ballard OpenStreetMap,2814663,1,43976256,2016-11-27T03:30:16Z
4524175438,47.6184184,-122.3029150,Ballard OpenStreetMap,2814663,1,43976256,2016-11-27T03:30:16Z
4524175439,47.6185703,-122.3029138,Ballard OpenStreetMap,2814663,1,43976256,2016-11-27T03:30:16Z
4524175440,47.6178973,-122.3044176,Ballard OpenStreetMap,2814663,1,43976256,2016-11-27T03:30:16Z
4524175441,47.6179863,-122.3042041,Ballard OpenStreetMap,2814663,1,43976256,2016-11-27T03:30:16Z
